This dataset was obtained through the ICEH retriever, a data platform developed by the International Center for Equity in Health (https://www.equidade.org/retriever)
Database version: 2026-04
ISO,Country,Year,Final Year,Source,UNICEF Region,Indicator Code,Indicator,Reference,Strat,Level,Estimate,Standard Error,Sample Size
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth deciles,D05,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth deciles,D06,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth deciles,D07,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth deciles,D08,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth deciles,D09,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth deciles,D10,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth quintiles,Q1,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth quintiles,Q2,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth quintiles,Q3,NA,NA,NA
SOM,Somalia,2006,2006,MICS,Eastern & Southern Africa,cci,Composite coverage index,,wealth quintiles,Q4,NA,NA,NA
